Customer ID,Recency,Frequency,Monetary,AvgOrderValue,ProductDiversity,TotalQuantity,CustomerLifetime,AvgPurchaseInterval,SingleOrderCustomer,churn,IsUKCustomer
12346.0,133,12,77556.46,6463.038333333334,27,74285,400,35.90909090909091,0,1,1
12347.0,54,4,3146.75,786.6875,90,1945,157,52.0,0,0,0
12348.0,56,4,1709.4,427.35,25,2497,189,63.0,0,0,0
12349.0,215,3,2671.14,890.38,90,993,181,90.0,0,1,0
12350.0,118,1,334.4,334.4,17,197,0,-1.0,1,1,0
12351.0,183,1,300.93,300.93,21,261,0,-1.0,1,1,0
12352.0,70,7,1905.61,272.22999999999996,38,442,130,21.5,0,0,0
12353.0,12,2,406.76,203.38,23,212,204,204.0,0,1,0
12354.0,40,1,1079.4,1079.4,58,530,0,-1.0,1,1,0
12355.0,22,2,947.61,473.805,35,543,353,353.0,0,1,0
12356.0,53,5,6315.33,1263.066,104,3412,179,44.25,0,1,0
12357.0,196,2,12079.99,6039.995,165,3879,0,0.0,0,1,0
12358.0,183,3,2719.01,906.3366666666667,52,831,356,177.5,0,0,0
12359.0,113,8,4949.77,618.72125,192,1739,429,61.0,0,0,0
12360.0,8,6,2674.41,445.73499999999996,108,1728,455,90.4,0,0,0
12361.0,95,4,511.25,127.8125,18,235,394,131.0,0,1,0
12362.0,33,3,1104.34,368.1133333333333,52,505,512,256.0,0,0,0
12363.0,50,1,299.1,299.1,16,282,0,-1.0,1,0,0
12365.0,99,2,641.38,320.69,22,174,0,0.0,0,1,0
12366.0,441,1,500.24,500.24,3,296,0,-1.0,1,1,0
12368.0,436,1,917.6999999999999,917.6999999999999,18,330,0,-1.0,1,1,0
12369.0,221,3,1791.15,597.0500000000001,90,1241,228,113.5,0,1,0
12370.0,82,6,3581.03,596.8383333333334,150,2225,394,78.6,0,1,0
12371.0,217,3,2179.42,726.4733333333334,91,845,235,117.5,0,1,0
12372.0,20,2,914.9200000000001,457.46000000000004,32,592,83,83.0,0,1,0
12373.0,119,3,1127.65,375.8833333333334,36,516,362,180.5,0,1,0
12374.0,229,3,2246.29,748.7633333333333,47,1020,166,83.0,0,1,0
12376.0,197,2,503.15,251.575,11,240,28,28.0,0,1,0
12377.0,123,4,3426.32,856.58,129,2105,274,91.0,0,1,0
12378.0,370,1,1407.7,1407.7,82,787,0,-1.0,1,0,0
12379.0,230,2,767.98,383.99,37,408,112,112.0,0,0,0
12380.0,273,7,6951.49,993.0699999999999,119,2228,197,32.666666666666664,0,0,0
12383.0,46,4,1751.11,437.7775,82,1512,113,37.333333333333336,0,0,0
12385.0,187,1,1938.4,1938.4,65,612,0,-1.0,1,1,0
12386.0,145,2,660.8,330.4,10,568,29,29.0,0,1,0
